jname,stock,genus,spp,Linf,K,Temp,Amax,Lsize
マイワシ,太平洋,Sardinops,melanostictus,23.5,NA,NA,7,17
マイワシ,対馬暖流,Sardinops,melanostictus,NA,NA,NA,7,16
マアジ,太平洋,Trachurus,japonicus,NA,NA,20,5,17
マアジ,対馬暖流,Trachurus,japonicus,40.1,0.275,20,5,22
マサバ,太平洋,Scomber,japonicus,44.6,0.2,16.7,10,29
マサバ,太平洋2,Scomber,japonicus,NA,NA,NA,11,NA
マサバ,対馬暖流,Scomber,japonicus,40.6,0.372,16.7,6,29
ゴマサバ,太平洋,Scomber,australasicus,NA,NA,18,6,29
ゴマサバ,東シナ海,Scomber,australasicus,NA,NA,18,6,29
スケトウダラ,日本海北部,Theragra,chalcogramma,NA,NA,3.5,10,37
スケトウダラ,根室海峡,Theragra,chalcogramma,NA,NA,3.5,19,45
スケトウダラ,オホーツク海南部,Theragra,chalcogramma,NA,NA,3.5,16,40
スケトウダラ,太平洋,Theragra,chalcogramma,NA,NA,3.5,20,35
ズワイガニ,オホーツク海,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,太平洋北部,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,日本海A海域_富山県以西,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,日本海B海域_新潟県以北,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,北海道西部,NA,NA,NA,NA,NA,NA,NA
スルメイカ,冬季発生系群,NA,NA,NA,NA,NA,NA,NA
スルメイカ,秋季発生系群,NA,NA,NA,NA,NA,NA,NA
マアナゴ,伊勢三河湾,Conger,myriaster,NA,NA,NA,NA,NA
ウルメイワシ,太平洋,Etrumeus,teres,NA,NA,NA,NA,NA
ウルメイワシ,対馬暖流,Etrumeus,teres,NA,NA,NA,NA,NA
ニシン,北海道,Clupea,pallasii,NA,NA,NA,NA,NA
カタクチイワシ,太平洋,Engraulis,japonicus,NA,NA,NA,NA,NA
カタクチイワシ,瀬戸内海,Engraulis,japonicus,NA,NA,NA,NA,NA
カタクチイワシ,対馬暖流,Engraulis,japonicus,NA,NA,NA,NA,NA
ニギス,日本海,Glossanodon ,semifasciatus,NA,NA,NA,NA,NA
ニギス,太平洋,Glossanodon ,semifasciatus,NA,NA,NA,NA,NA
イトヒキダラ,太平洋,Laemonema,longipes,NA,NA,NA,NA,NA
マダラ,北海道_太平洋側,Gadus,macrocephalus,96.6,0.259,3.5,8,55
マダラ,北海道_武蔵,Gadus,macrocephalus,93.3,0.392,3.5,8,55
マダラ,北海道_松前小島,Gadus,macrocephalus,132.4,0.123,3.5,8,55
マダラ,太平洋北部,Gadus,macrocephalus,125.5,0.16,3.5,8,50
マダラ,日本海,Gadus,macrocephalus,NA,NA,3.5,9,50
キアンコウ,太平洋北部,NA,NA,NA,NA,NA,NA,NA
キンメダイ,太平洋,Beryx,splendens,NA,NA,NA,NA,NA
キチジ,オホーツク海,Sebastolobus,macrochir,NA,NA,NA,NA,NA
キチジ,道東_道南,Sebastolobus,macrochir,NA,NA,NA,NA,NA
キチジ,太平洋北部,Sebastolobus,macrochir,NA,NA,NA,NA,NA
ホッケ,根室海峡_道東_日高_胆振,Pleurogrammus,azonus,43.6,0.32,NA,10,33
ホッケ,道北pooled,Pleurogrammus,azonus,30.58,0.621,NA,9,25
ホッケ,道北male,Pleurogrammus,azonus,29.87,0.659,NA,9,25
ホッケ,道北female,Pleurogrammus,azonus,31.83,0.559,NA,9,25
ホッケ,道南,Pleurogrammus,azonus,NA,NA,NA,NA,NA
アマダイ類,東シナ海,NA,NA,NA,NA,NA,NA,NA
ブリ,NA,Seriola,quinqueradiata,104.2,0.311,20,7,60
ムロアジ類,東シナ海,NA,NA,NA,NA,NA,NA,NA
マチ類_アオダイ,奄美諸島_沖縄諸島_先島諸島,NA,NA,NA,NA,NA,NA,NA
マチ類_ハマダイ,奄美諸島_沖縄諸島_先島諸島,NA,NA,NA,NA,NA,NA,NA
マチ類_ヒメダイ,奄美諸島_沖縄諸島_先島諸島,NA,NA,NA,NA,NA,NA,NA
マチ類_オオヒメ,奄美諸島_沖縄諸島_先島諸島,NA,NA,NA,NA,NA,NA,NA
マダイ,瀬戸内海東部,Pagrus,major,NA,NA,NA,NA,NA
マダイ,瀬戸内海中_西部,Pagrus,major,NA,NA,NA,NA,NA
マダイ,日本海西部_東シナ海,Pagrus,major,NA,NA,NA,NA,NA
キダイ,日本海_東シナ海,Dentex,tumifrons,NA,NA,NA,NA,NA
ハタハタ,日本海西部,Arctoscopus,japonicus,NA,NA,NA,NA,NA
ハタハタ,日本海北部,Arctoscopus,japonicus,NA,NA,NA,NA,NA
イカナゴ類,宗谷海峡,NA,NA,NA,NA,NA,NA,NA
イカナゴ,伊勢_三河湾,NA,NA,NA,NA,NA,NA,NA
イカナゴ,瀬戸内海東部,Ammodytes,personatus,NA,NA,NA,NA,NA
タチウオ,日本海_東シナ海,NA,NA,NA,NA,NA,NA,NA
サワラ,東シナ海,Scomberomorus ,niphonius,NA,NA,NA,NA,NA
サワラ,瀬戸内海,Scomberomorus ,niphonius,NA,NA,NA,NA,NA
ヒラメ,太平洋北部,Paralichthys,olivaceus,NA,NA,NA,NA,NA
ヒラメ,瀬戸内海,Paralichthys,olivaceus,NA,NA,NA,NA,NA
ヒラメ,日本海北_中部,Paralichthys,olivaceus,NA,NA,NA,NA,NA
ヒラメ,日本海西部_東シナ海,Paralichthys,olivaceus,NA,NA,NA,NA,NA
サメガレイ,太平洋北部,Clidoderma,asperrimum,NA,NA,NA,NA,NA
ムシガレイ,日本海,Eopsetta,grigorjewi ,NA,NA,NA,NA,NA
ソウハチ,日本海,Cleisthenes,pinetorum,NA,NA,NA,NA,NA
ソウハチ,北海道北部,Cleisthenes,pinetorum,NA,NA,NA,NA,NA
アカガレイ,日本海,Hippoglossoides,dubius,NA,NA,NA,NA,NA
ヤナギムシガレイ,太平洋北部,Tanakius,kitaharae,NA,NA,NA,NA,NA
マガレイ,北海道北部,Pseudopleuronectes,herzensteini,NA,NA,NA,NA,NA
マガレイ,日本海,Pseudopleuronectes,herzensteini,NA,NA,NA,NA,NA
ウマヅラハギ,日本海_東シナ海,NA,NA,NA,NA,NA,NA,NA
トラフグ,日本海_東シナ海_瀬戸内海,Takifugu,rubripes,NA,NA,NA,NA,NA
トラフグ,伊勢_三河湾,Takifugu,rubripes,NA,NA,NA,NA,NA
