jname,stock,genus,spp,Linf,K,Temp,Amax,Lsize
マイワシ,太平洋,NA,NA,23,NA,NA,7,17
マイワシ,対馬暖流,NA,NA,NA,NA,NA,7,16
マアジ,太平洋,NA,NA,NA,NA,20,5,17
マアジ,対馬暖流,NA,NA,40.1,0.275,20,5,22
マサバ,太平洋,NA,NA,44.6,0.2,16.7,10,29
マサバ,太平洋2,NA,NA,NA,NA,NA,11,NA
マサバ,対馬暖流,NA,NA,40.6,0.372,16.7,6,29
ゴマサバ,太平洋,NA,NA,NA,NA,18,6,29
ゴマサバ,東シナ海,NA,NA,NA,NA,18,6,29
スケトウダラ,日本海北部,NA,NA,NA,NA,3.5,10,37
スケトウダラ,根室海峡,NA,NA,NA,NA,3.5,19,45
スケトウダラ,オホーツク海南部,NA,NA,NA,NA,3.5,16,40
スケトウダラ,太平洋,NA,NA,NA,NA,3.5,20,35
ズワイガニ,オホーツク海,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,太平洋北部,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,日本海A海域_富山県以西,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,日本海B海域_新潟県以北,NA,NA,NA,NA,NA,NA,NA
ズワイガニ,北海道西部,NA,NA,NA,NA,NA,NA,NA
スルメイカ,冬季発生系群,NA,NA,NA,NA,NA,1,NA
スルメイカ,秋季発生系群,NA,NA,NA,NA,NA,1,NA
マアナゴ,伊勢三河湾,NA,NA,NA,NA,NA,NA,NA
ウルメイワシ,太平洋,NA,NA,22.7,0.1368,15,2,16
ウルメイワシ,対馬暖流,NA,NA,24.5,0.1,15,2,17
ニシン,北海道,NA,NA,NA,NA,NA,NA,NA
カタクチイワシ,太平洋,NA,NA,17,0.67,21.1,4,13.5
カタクチイワシ,瀬戸内海,NA,NA,14.01,0.1189,NA,2,11
カタクチイワシ,対馬暖流_春季発生群,NA,NA,14.396,0.15,NA,3,11
カタクチイワシ,対馬暖流_秋季発生群,NA,NA,15.859,0.09,NA,3,11
ニギス,日本海,NA,NA,NA,NA,NA,NA,NA
ニギス,太平洋,NA,NA,NA,NA,NA,NA,NA
イトヒキダラ,太平洋,NA,NA,NA,NA,NA,NA,NA
